season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change
2022-23,1610612751,BKN,Brooklyn Nets,11.333333333333334,10.690909090909091,14.666666666666666,16.036363636363635,21.0,22.0,0.6424242424242426,-1.3696969696969692
2022-23,1610612752,NYK,New York Knicks,9.375,10.196428571428571,11.375,12.339285714285714,15.0,20.0,-0.8214285714285712,-0.9642857142857135
2022-23,1610612753,ORL,Orlando Magic,10.777777777777779,10.314814814814815,12.666666666666666,13.74074074074074,16.0,22.0,0.4629629629629637,-1.0740740740740744
2022-23,1610612754,IND,Indiana Pacers,10.0,10.689655172413794,14.88888888888889,15.775862068965518,18.0,23.0,-0.6896551724137936,-0.8869731800766285
2022-23,1610612755,PHI,Philadelphia 76ers,11.0,10.814814814814815,15.1,15.38888888888889,20.0,23.0,0.18518518518518512,-0.28888888888888964
2022-23,1610612756,PHX,Phoenix Suns,11.11111111111111,10.836363636363636,14.666666666666666,15.072727272727272,19.0,22.0,0.27474747474747474,-0.40606060606060623
2022-23,1610612757,POR,Portland Trail Blazers,9.444444444444445,10.018181818181818,13.0,12.745454545454546,15.0,19.0,-0.573737373737373,0.25454545454545396
2022-23,1610612758,SAC,Sacramento Kings,12.3,11.4,13.5,15.745454545454546,17.0,24.0,0.9000000000000004,-2.245454545454546
2022-23,1610612759,SAS,San Antonio Spurs,10.25,11.072727272727272,18.625,20.363636363636363,24.0,30.0,-0.8227272727272723,-1.7386363636363633
2022-23,1610612760,OKC,Oklahoma City Thunder,10.5,11.072727272727272,17.2,18.727272727272727,24.0,27.0,-0.5727272727272723,-1.5272727272727273
2022-23,1610612761,TOR,Toronto Raptors,11.11111111111111,10.0,12.555555555555555,13.25,16.0,18.0,1.1111111111111107,-0.6944444444444446
2022-23,1610612762,UTA,Utah Jazz,10.222222222222221,10.864406779661017,12.666666666666666,14.59322033898305,18.0,20.0,-0.6421845574387959,-1.926553672316384
2022-23,1610612763,MEM,Memphis Grizzlies,10.222222222222221,10.836363636363636,13.666666666666666,15.309090909090909,19.0,21.0,-0.6141414141414145,-1.6424242424242426
2022-23,1610612764,WAS,Washington Wizards,10.0,10.618181818181819,13.7,15.781818181818181,17.0,25.0,-0.618181818181819,-2.081818181818182
2022-23,1610612765,DET,Detroit Pistons,9.272727272727273,10.350877192982455,13.636363636363637,13.631578947368421,16.0,20.0,-1.078149920255182,0.004784688995215447
2022-23,1610612766,CHA,Charlotte Hornets,9.6,10.084745762711865,14.1,13.813559322033898,17.0,21.0,-0.4847457627118654,0.28644067796610173
2023-24,1610612737,ATL,Atlanta Hawks,9.851851851851851,9.690909090909091,13.333333333333334,11.781818181818181,18.0,18.0,0.16094276094275983,1.5515151515151526
2023-24,1610612738,BOS,Boston Celtics,10.615384615384615,10.327272727272728,13.23076923076923,13.654545454545454,21.0,19.0,0.2881118881118869,-0.42377622377622437
2023-24,1610612739,CLE,Cleveland Cavaliers,10.0,10.09433962264151,15.068965517241379,15.622641509433961,24.0,22.0,-0.09433962264150964,-0.5536759921925825
2023-24,1610612740,NOP,New Orleans Pelicans,10.36,10.709090909090909,14.8,17.818181818181817,22.0,26.0,-0.34909090909090956,-3.018181818181816
2023-24,1610612741,CHI,Chicago Bulls,10.461538461538462,10.054545454545455,17.153846153846153,15.763636363636364,21.0,24.0,0.406993006993007,1.3902097902097896
2023-24,1610612742,DAL,Dallas Mavericks,11.692307692307692,11.218181818181819,17.307692307692307,16.818181818181817,24.0,24.0,0.4741258741258729,0.48951048951049003
2023-24,1610612743,DEN,Denver Nuggets,11.56,11.10909090909091,11.96,13.181818181818182,17.0,20.0,0.45090909090909115,-1.2218181818181808
2023-24,1610612744,GSW,Golden State Warriors,11.821428571428571,10.924528301886792,17.0,16.962264150943398,23.0,24.0,0.8969002695417796,0.03773584905660243
2023-24,1610612745,HOU,Houston Rockets,10.925925925925926,10.722222222222221,16.703703703703702,15.425925925925926,21.0,26.0,0.20370370370370416,1.2777777777777768
2023-24,1610612746,LAC,LA Clippers,10.689655172413794,10.377358490566039,13.89655172413793,13.943396226415095,19.0,19.0,0.31229668184775505,-0.04684450227716397
